product_name,product_category,product_price,product_quantity,product_brand,product_color,product_weight,product_dimensions,product_release_date,Product ID
nec,toys,936.34,591,Nike,Teal,31.76,error: Field 'length' not found,12/17/2014,1
nisl venenatis,clothing,89.1,642,Nike,Turquoise,41.82,error: Field 'length' not found,8/14/2022,2
dui,home decor,56.08,95,Samsung,Orange,80.23,error: Field 'length' not found,11/7/2010,3
est phasellus,beauty,428.79,62,Samsung,Orange,45.05,error: Field 'length' not found,2/2/2020,4
rhoncus,automotive,772.73,896,Nike,Blue,83.29,error: Field 'length' not found,1/24/2011,5
quam,automotive,458.29,389,Nike,Goldenrod,47.15,error: Field 'length' not found,12/28/2013,6
pulvinar nulla,toys,494.31,680,Nike,Green,86.48,error: Field 'length' not found,1/15/2010,7
quis,toys,560.21,590,Apple,Fuscia,70.11,error: Field 'length' not found,8/27/2016,8
id,toys,999.49,784,Apple,Green,13.39,error: Field 'length' not found,10/11/2020,9
condimentum curabitur,home decor,856.34,517,Nike,Maroon,93.09,error: Field 'length' not found,8/18/2019,10
ipsum praesent,clothing,224.23,89,Nike,Purple,50.64,error: Field 'length' not found,10/31/2017,11
libero convallis,clothing,649.82,769,Samsung,Yellow,14.26,error: Field 'length' not found,10/17/2016,12
donec,health,878.3,282,Nike,Maroon,11.28,error: Field 'length' not found,6/23/2013,13
duis,pets,584.1,299,Apple,Puce,25.54,error: Field 'length' not found,3/23/2010,14
libero non,sports,444.13,311,Samsung,Red,53.94,error: Field 'length' not found,2/28/2018,15
pulvinar,health,225.72,316,Samsung,Fuscia,3.72,error: Field 'length' not found,3/21/2010,16
pellentesque ultrices,food,46.95,390,Nike,Indigo,17.96,error: Field 'length' not found,6/22/2020,17
condimentum neque,toys,878.08,99,Nike,Green,14.2,error: Field 'length' not found,11/8/2013,18
vestibulum rutrum,food,579.18,385,Nike,Maroon,94.14,error: Field 'length' not found,11/18/2011,19
dolor,electronics,856.42,760,Apple,Fuscia,46.04,error: Field 'length' not found,12/29/2021,20
ipsum,beauty,931.56,868,Samsung,Yellow,33.33,error: Field 'length' not found,12/31/2012,21
tempor turpis,books,878.63,993,Nike,Indigo,86.13,error: Field 'length' not found,9/6/2018,22
vel lectus,clothing,575.46,105,Nike,Puce,81.23,error: Field 'length' not found,7/28/2021,23
pharetra,books,738.91,727,Apple,Maroon,56.07,error: Field 'length' not found,9/17/2010,24
non,home decor,661.19,28,Nike,Teal,37.68,error: Field 'length' not found,9/7/2017,25
lectus,electronics,348.68,907,Nike,Red,71.23,error: Field 'length' not found,6/12/2019,26
massa id,food,333.72,299,Nike,Red,62.58,error: Field 'length' not found,10/26/2020,27
ultrices posuere,sports,227.25,191,Apple,Purple,80.9,error: Field 'length' not found,5/3/2020,28
mauris viverra,pets,529.97,496,Apple,Orange,54.71,error: Field 'length' not found,10/17/2017,29
curabitur,food,406.5,417,Apple,Mauv,74.24,error: Field 'length' not found,6/7/2021,30
sem duis,automotive,577.95,361,Apple,Blue,79.81,error: Field 'length' not found,1/10/2018,31
bibendum morbi,food,294.21,351,Samsung,Pink,59.47,error: Field 'length' not found,4/10/2014,32
condimentum curabitur,automotive,459.45,821,Nike,Maroon,93.24,error: Field 'length' not found,5/21/2014,33
aliquet,sports,519.8,751,Apple,Mauv,66.83,error: Field 'length' not found,8/13/2012,34
vestibulum proin,electronics,861.9,412,Nike,Aquamarine,70.11,error: Field 'length' not found,11/26/2018,35
velit id,electronics,313.06,295,Nike,Puce,64.76,error: Field 'length' not found,11/4/2020,36
magnis dis,food,994.8,285,Apple,Puce,19.78,error: Field 'length' not found,5/26/2012,37
tristique fusce,health,30.91,482,Nike,Khaki,44.18,error: Field 'length' not found,12/23/2010,38
massa volutpat,pets,858.25,649,Nike,Aquamarine,59.71,error: Field 'length' not found,4/17/2015,39
mattis,clothing,865.11,745,Apple,Goldenrod,42.46,error: Field 'length' not found,8/16/2014,40
faucibus,electronics,315.88,519,Apple,Orange,0.92,error: Field 'length' not found,11/11/2020,41
ante,beauty,434.46,814,Nike,Orange,54.77,error: Field 'length' not found,6/14/2010,42
id,toys,568.34,242,Samsung,Pink,68.18,error: Field 'length' not found,3/2/2019,43
curae nulla,books,199.34,232,Samsung,Mauv,31.71,error: Field 'length' not found,1/10/2017,44
amet,pets,538.38,422,Samsung,Violet,29.99,error: Field 'length' not found,10/6/2017,45
amet sapien,home decor,638.28,503,Samsung,Purple,23.49,error: Field 'length' not found,1/29/2019,46
donec semper,home decor,368.57,245,Samsung,Crimson,28.9,error: Field 'length' not found,11/1/2014,47
odio odio,beauty,210.15,405,Samsung,Aquamarine,55.81,error: Field 'length' not found,7/7/2016,48
cubilia,clothing,656.84,444,Apple,Mauv,60.79,error: Field 'length' not found,8/24/2013,49
potenti,home decor,695.74,923,Apple,Green,50.84,error: Field 'length' not found,6/25/2011,50
eu,pets,533.01,501,Nike,Crimson,4.24,error: Field 'length' not found,12/13/2020,51
viverra pede,beauty,140.94,451,Nike,Mauv,31.12,error: Field 'length' not found,5/10/2011,52
dui,toys,676.36,373,Samsung,Indigo,37.53,error: Field 'length' not found,6/5/2019,53
a feugiat,sports,855.14,46,Nike,Teal,86.69,error: Field 'length' not found,7/22/2018,54
suscipit ligula,books,490.76,885,Samsung,Purple,67.69,error: Field 'length' not found,8/29/2018,55
lorem quisque,food,194.27,763,Samsung,Blue,52.88,error: Field 'length' not found,6/25/2011,56
mi,automotive,933.97,760,Nike,Crimson,37.33,error: Field 'length' not found,7/17/2020,57
in imperdiet,automotive,951.5,77,Nike,Purple,82.21,error: Field 'length' not found,9/6/2017,58
erat eros,sports,610.7,1000,Nike,Green,27.61,error: Field 'length' not found,10/7/2017,59
porta,toys,447.87,853,Apple,Maroon,66.19,error: Field 'length' not found,6/29/2013,60
ipsum,home decor,128.34,160,Samsung,Khaki,31.84,error: Field 'length' not found,12/14/2012,61
eget vulputate,toys,518.32,219,Samsung,Yellow,81.36,error: Field 'length' not found,12/29/2021,62
iaculis,health,352.66,437,Apple,Turquoise,68.13,error: Field 'length' not found,10/19/2021,63
quisque,beauty,171.52,116,Samsung,Crimson,72.38,error: Field 'length' not found,5/19/2013,64
quam,beauty,286.59,241,Samsung,Maroon,19.25,error: Field 'length' not found,2/9/2021,65
non,pets,533.92,355,Samsung,Turquoise,81.98,error: Field 'length' not found,7/6/2013,66
nam congue,toys,707.8,280,Nike,Aquamarine,27.84,error: Field 'length' not found,8/29/2016,67
ut,pets,390.02,52,Samsung,Orange,15.08,error: Field 'length' not found,7/14/2021,68
lectus,clothing,790.04,970,Apple,Crimson,64.41,error: Field 'length' not found,4/13/2010,69
interdum,electronics,854.38,782,Samsung,Red,9.92,error: Field 'length' not found,10/8/2015,70
tempus,health,483.94,795,Apple,Yellow,3.7,error: Field 'length' not found,3/27/2013,71
mollis molestie,food,487.12,773,Samsung,Aquamarine,30.77,error: Field 'length' not found,10/5/2017,72
magna bibendum,automotive,438.7,284,Apple,Blue,91.15,error: Field 'length' not found,8/21/2016,73
in,pets,775.62,524,Samsung,Pink,83.84,error: Field 'length' not found,12/31/2018,74
phasellus,food,659.59,659,Apple,Green,2.46,error: Field 'length' not found,3/31/2019,75
vestibulum,toys,768.74,276,Nike,Mauv,94.86,error: Field 'length' not found,12/1/2017,76
in purus,electronics,908.02,963,Nike,Indigo,92.47,error: Field 'length' not found,4/19/2014,77
ornare,sports,468.27,161,Samsung,Mauv,0.82,error: Field 'length' not found,1/5/2016,78
eget,pets,805.65,109,Nike,Pink,69.93,error: Field 'length' not found,3/12/2022,79
libero,sports,84.63,320,Nike,Aquamarine,29.17,error: Field 'length' not found,7/24/2013,80
eleifend,beauty,777.56,890,Samsung,Crimson,63.03,error: Field 'length' not found,8/18/2019,81
sagittis,pets,738.49,757,Samsung,Pink,47.74,error: Field 'length' not found,11/26/2015,82
nulla ultrices,sports,847.6,911,Apple,Blue,31.59,error: Field 'length' not found,2/27/2019,83
amet,beauty,701.66,393,Nike,Blue,9.35,error: Field 'length' not found,3/15/2011,84
phasellus in,home decor,780.02,655,Samsung,Teal,3.78,error: Field 'length' not found,10/30/2021,85
augue vel,books,810.83,922,Nike,Aquamarine,40.68,error: Field 'length' not found,12/2/2017,86
in hac,clothing,855.42,159,Nike,Green,8.24,error: Field 'length' not found,10/7/2012,87
molestie,home decor,671.43,267,Nike,Yellow,11.78,error: Field 'length' not found,7/12/2019,88
lacus purus,electronics,707.09,535,Apple,Indigo,29.39,error: Field 'length' not found,8/10/2011,89
lorem integer,toys,71.78,604,Samsung,Khaki,99.97,error: Field 'length' not found,11/13/2010,90
sit amet,clothing,497,324,Samsung,Orange,63.56,error: Field 'length' not found,1/18/2011,91
urna,books,60.85,705,Nike,Pink,80.21,error: Field 'length' not found,12/20/2020,92
proin,pets,478.5,335,Nike,Red,67.61,error: Field 'length' not found,8/19/2010,93
cum,sports,740.35,428,Apple,Fuscia,89.31,error: Field 'length' not found,5/24/2016,94
faucibus,clothing,410.14,626,Apple,Goldenrod,16.22,error: Field 'length' not found,7/4/2021,95
nulla suscipit,home decor,218.29,785,Samsung,Crimson,91.96,error: Field 'length' not found,2/24/2020,96
vestibulum,health,260.39,563,Samsung,Orange,20.21,error: Field 'length' not found,7/25/2021,97
at turpis,beauty,278.95,773,Samsung,Purple,10.13,error: Field 'length' not found,6/26/2012,98
pharetra magna,electronics,641.97,877,Apple,Maroon,66.87,error: Field 'length' not found,3/6/2020,99
a,health,898.69,555,Samsung,Indigo,86.02,error: Field 'length' not found,10/24/2022,100
at,beauty,241.85,196,Apple,Teal,39.77,error: Field 'length' not found,7/4/2019,101
augue quam,automotive,537.23,36,Samsung,Teal,80.56,error: Field 'length' not found,10/22/2021,102
ultrices,clothing,39.58,84,Apple,Purple,81.34,error: Field 'length' not found,10/3/2019,103
odio,clothing,734.35,310,Nike,Teal,37.66,error: Field 'length' not found,5/1/2021,104
magna,sports,415.48,772,Apple,Puce,74.65,error: Field 'length' not found,7/29/2014,105
nulla elit,books,246.3,648,Nike,Green,14.4,error: Field 'length' not found,11/8/2019,106
curae donec,books,606.19,97,Samsung,Violet,33.63,error: Field 'length' not found,9/19/2022,107
blandit nam,books,454.56,685,Nike,Crimson,4.29,error: Field 'length' not found,7/9/2011,108
eget,toys,342.55,853,Samsung,Fuscia,21.12,error: Field 'length' not found,5/18/2015,109
sapien,sports,159.69,644,Samsung,Turquoise,51.78,error: Field 'length' not found,8/14/2014,110
neque,automotive,965.71,740,Apple,Turquoise,28.33,error: Field 'length' not found,6/27/2015,111
est et,health,420.62,838,Nike,Indigo,93.55,error: Field 'length' not found,8/13/2021,112
sollicitudin,books,973.12,109,Apple,Puce,56.24,error: Field 'length' not found,7/13/2010,113
faucibus accumsan,food,902.68,68,Samsung,Yellow,13.51,error: Field 'length' not found,11/3/2015,114
metus,beauty,691.82,322,Samsung,Puce,97.04,error: Field 'length' not found,7/7/2019,115
donec quis,food,526.92,326,Apple,Violet,76.31,error: Field 'length' not found,4/10/2016,116
mauris,clothing,707.86,672,Samsung,Crimson,47.19,error: Field 'length' not found,7/16/2018,117
duis faucibus,clothing,257.55,343,Samsung,Crimson,55.33,error: Field 'length' not found,8/13/2021,118
convallis,pets,173.18,593,Nike,Puce,43.92,error: Field 'length' not found,1/18/2018,119
mauris,electronics,520.33,825,Apple,Indigo,81.16,error: Field 'length' not found,3/15/2020,120
ultrices,sports,136.82,574,Nike,Green,59.24,error: Field 'length' not found,8/1/2014,121
molestie,health,347.35,104,Nike,Purple,20.89,error: Field 'length' not found,9/21/2022,122
lobortis ligula,books,824.99,625,Samsung,Purple,71.75,error: Field 'length' not found,1/13/2021,123
nibh in,clothing,839.04,7,Samsung,Maroon,8.51,error: Field 'length' not found,5/29/2013,124
quis,books,887.42,472,Samsung,Turquoise,54.66,error: Field 'length' not found,1/3/2012,125
amet erat,health,325,447,Samsung,Maroon,1.95,error: Field 'length' not found,12/6/2020,126
augue,food,155.24,735,Nike,Purple,23.79,error: Field 'length' not found,4/2/2015,127
at,toys,466.87,798,Apple,Crimson,14.11,error: Field 'length' not found,10/9/2013,128
porttitor pede,beauty,669.51,820,Apple,Blue,49.85,error: Field 'length' not found,1/8/2021,129
platea dictumst,toys,49.69,159,Nike,Pink,66.05,error: Field 'length' not found,11/13/2015,130
vitae,sports,951.99,826,Samsung,Mauv,10.58,error: Field 'length' not found,2/21/2012,131
curabitur,health,955.16,665,Samsung,Goldenrod,25.11,error: Field 'length' not found,6/17/2015,132
consequat,toys,361.25,141,Nike,Mauv,69.66,error: Field 'length' not found,11/9/2017,133
vel,books,965.34,854,Nike,Red,60.81,error: Field 'length' not found,11/18/2021,134
erat,health,526.05,612,Nike,Purple,45.83,error: Field 'length' not found,1/14/2013,135
nonummy maecenas,books,379.45,56,Samsung,Blue,82.63,error: Field 'length' not found,10/30/2018,136
id consequat,pets,888.22,927,Samsung,Crimson,98.04,error: Field 'length' not found,6/3/2014,137
hac habitasse,automotive,381.31,960,Samsung,Khaki,4.24,error: Field 'length' not found,1/2/2014,138
amet,home decor,97.9,477,Nike,Mauv,62.59,error: Field 'length' not found,4/30/2016,139
adipiscing molestie,sports,960.1,934,Apple,Indigo,73.81,error: Field 'length' not found,8/20/2013,140
ipsum,health,794.45,542,Samsung,Goldenrod,15.07,error: Field 'length' not found,7/4/2017,141
varius,food,935.54,104,Apple,Green,9.56,error: Field 'length' not found,7/16/2017,142
blandit nam,beauty,102.85,138,Nike,Puce,53.36,error: Field 'length' not found,12/2/2018,143
molestie lorem,health,435.32,460,Apple,Turquoise,19.32,error: Field 'length' not found,2/22/2017,144
nulla,toys,959.55,79,Samsung,Maroon,91.26,error: Field 'length' not found,5/1/2020,145
volutpat,health,35.32,715,Samsung,Pink,47.25,error: Field 'length' not found,10/4/2013,146
sit,sports,266.39,345,Samsung,Turquoise,74.76,error: Field 'length' not found,5/3/2014,147
accumsan felis,sports,796.01,196,Nike,Khaki,36.15,error: Field 'length' not found,2/15/2011,148
molestie,electronics,436.93,92,Apple,Green,55.93,error: Field 'length' not found,5/2/2022,149
pharetra magna,pets,160.22,254,Nike,Orange,55.4,error: Field 'length' not found,12/15/2015,150
cubilia curae,health,940.28,577,Samsung,Violet,48.78,error: Field 'length' not found,8/31/2016,151
morbi ut,home decor,610.79,380,Samsung,Red,17.58,error: Field 'length' not found,12/13/2022,152
ultrices posuere,automotive,867.48,478,Apple,Orange,7.2,error: Field 'length' not found,12/9/2022,153
lacus,clothing,456.92,832,Apple,Red,48.07,error: Field 'length' not found,8/22/2020,154
justo,automotive,847.25,806,Nike,Violet,40.42,error: Field 'length' not found,9/22/2017,155
id,automotive,450.67,461,Nike,Turquoise,9.94,error: Field 'length' not found,7/26/2011,156
potenti,food,869.82,471,Samsung,Indigo,65.58,error: Field 'length' not found,1/18/2022,157
id sapien,beauty,47.09,606,Nike,Maroon,51.03,error: Field 'length' not found,4/28/2017,158
sapien varius,health,406.76,694,Samsung,Goldenrod,20.66,error: Field 'length' not found,7/12/2012,159
cras non,beauty,106.4,157,Nike,Pink,30.82,error: Field 'length' not found,9/30/2013,160
nullam varius,food,900.84,767,Nike,Purple,42.61,error: Field 'length' not found,5/25/2012,161
in,sports,201.72,81,Nike,Green,47.28,error: Field 'length' not found,9/18/2020,162
integer pede,sports,185.83,37,Nike,Goldenrod,40.77,error: Field 'length' not found,2/13/2010,163
nonummy,electronics,974.65,651,Apple,Pink,47.94,error: Field 'length' not found,6/17/2022,164
sed magna,health,467,708,Nike,Crimson,5.9,error: Field 'length' not found,12/17/2017,165
sed magna,health,829.31,704,Apple,Mauv,94.53,error: Field 'length' not found,4/18/2014,166
vitae,home decor,122.79,64,Apple,Mauv,50.38,error: Field 'length' not found,11/21/2018,167
volutpat eleifend,clothing,351.69,602,Samsung,Purple,80.63,error: Field 'length' not found,5/17/2018,168
et tempus,books,857.13,227,Apple,Turquoise,57.92,error: Field 'length' not found,11/27/2015,169
lectus,automotive,958.05,205,Nike,Puce,49.77,error: Field 'length' not found,3/9/2011,170
nunc purus,electronics,829.95,787,Samsung,Turquoise,75.42,error: Field 'length' not found,4/23/2018,171
mauris,beauty,243.23,211,Nike,Orange,72,error: Field 'length' not found,12/7/2011,172
tempor convallis,sports,894.83,563,Apple,Teal,11.93,error: Field 'length' not found,8/17/2018,173
sed,food,586.17,591,Samsung,Indigo,11.23,error: Field 'length' not found,5/18/2010,174
sociis,sports,275.24,803,Apple,Fuscia,2.83,error: Field 'length' not found,9/17/2021,175
tortor id,sports,97.81,197,Nike,Violet,5.62,error: Field 'length' not found,2/6/2017,176
molestie,toys,649.79,69,Nike,Blue,57.49,error: Field 'length' not found,3/6/2014,177
eget,sports,631.41,926,Apple,Green,33.43,error: Field 'length' not found,7/31/2017,178
at,health,51.71,417,Samsung,Khaki,92.71,error: Field 'length' not found,1/22/2019,179
velit,beauty,876.89,933,Apple,Mauv,99.05,error: Field 'length' not found,8/29/2015,180
adipiscing,books,59.91,479,Apple,Mauv,11.58,error: Field 'length' not found,1/4/2021,181
augue,automotive,439.2,360,Apple,Green,2.96,error: Field 'length' not found,8/6/2010,182
in faucibus,toys,466.81,88,Samsung,Green,97.04,error: Field 'length' not found,12/10/2013,183
vel,books,689.18,168,Apple,Turquoise,93.39,error: Field 'length' not found,9/29/2010,184
nulla,books,294.28,723,Samsung,Maroon,47.91,error: Field 'length' not found,8/2/2019,185
lectus,home decor,248.77,628,Nike,Turquoise,25.43,error: Field 'length' not found,1/26/2016,186
condimentum curabitur,beauty,433.97,650,Samsung,Maroon,19.11,error: Field 'length' not found,6/9/2015,187
viverra,sports,175.43,427,Apple,Puce,26.12,error: Field 'length' not found,5/12/2016,188
libero non,clothing,536.62,920,Samsung,Khaki,77.8,error: Field 'length' not found,11/19/2020,189
nulla,automotive,397.47,350,Apple,Aquamarine,95.56,error: Field 'length' not found,6/1/2010,190
curae donec,toys,942.31,123,Samsung,Puce,83.28,error: Field 'length' not found,3/2/2020,191
potenti cras,automotive,931.92,638,Samsung,Indigo,5.52,error: Field 'length' not found,2/25/2022,192
nulla,food,808.03,108,Nike,Puce,9.38,error: Field 'length' not found,2/7/2020,193
augue vestibulum,home decor,947.77,694,Apple,Purple,70.21,error: Field 'length' not found,9/17/2019,194
venenatis non,sports,739.93,435,Nike,Mauv,36.37,error: Field 'length' not found,12/23/2019,195
ut,electronics,992.17,784,Samsung,Blue,90.07,error: Field 'length' not found,5/10/2021,196
ultrices enim,food,735.96,823,Nike,Fuscia,85.81,error: Field 'length' not found,2/13/2020,197
erat quisque,books,652.12,788,Nike,Orange,82.28,error: Field 'length' not found,10/20/2014,198
amet cursus,sports,879.33,813,Nike,Khaki,31.48,error: Field 'length' not found,2/18/2014,199
duis faucibus,home decor,111.71,188,Samsung,Red,55.84,error: Field 'length' not found,10/7/2012,200
cubilia curae,automotive,973.9,653,Apple,Pink,34.74,error: Field 'length' not found,3/25/2013,201
nullam molestie,beauty,849.1,456,Samsung,Yellow,28.26,error: Field 'length' not found,8/14/2012,202
convallis,automotive,214.77,866,Nike,Pink,74.74,error: Field 'length' not found,5/9/2010,203
penatibus et,beauty,649.87,929,Samsung,Crimson,22.51,error: Field 'length' not found,1/4/2015,204
ac enim,electronics,576.5,57,Samsung,Mauv,74.02,error: Field 'length' not found,4/17/2012,205
nulla,toys,218.66,680,Samsung,Mauv,16.27,error: Field 'length' not found,2/15/2018,206
habitasse platea,electronics,722.78,818,Apple,Green,75.01,error: Field 'length' not found,7/30/2022,207
volutpat convallis,books,531.09,440,Apple,Green,9.17,error: Field 'length' not found,7/28/2017,208
non mi,toys,571.24,311,Nike,Pink,53.48,error: Field 'length' not found,10/14/2019,209
volutpat dui,sports,461.74,830,Samsung,Khaki,39.06,error: Field 'length' not found,6/8/2021,210
massa,automotive,381.78,247,Samsung,Teal,9.11,error: Field 'length' not found,7/12/2011,211
vel,home decor,586.84,251,Samsung,Green,90.81,error: Field 'length' not found,7/15/2012,212
diam,health,585.95,4,Nike,Fuscia,91.29,error: Field 'length' not found,5/7/2021,213
vel lectus,automotive,474.02,919,Apple,Purple,30.84,error: Field 'length' not found,7/3/2019,214
adipiscing elit,automotive,671.32,716,Nike,Violet,71.06,error: Field 'length' not found,4/20/2013,215
diam erat,clothing,733.85,439,Samsung,Puce,18.83,error: Field 'length' not found,12/3/2014,216
justo aliquam,clothing,286.95,905,Samsung,Teal,74.63,error: Field 'length' not found,4/30/2017,217
dictumst aliquam,sports,335.37,739,Samsung,Blue,83,error: Field 'length' not found,5/8/2018,218
eget semper,food,920.81,137,Samsung,Orange,37.23,error: Field 'length' not found,11/11/2010,219
morbi non,electronics,609.62,453,Samsung,Blue,11.24,error: Field 'length' not found,2/10/2017,220
dolor,food,597.44,25,Apple,Green,86.12,error: Field 'length' not found,6/30/2019,221
blandit,toys,607.28,61,Apple,Orange,81.07,error: Field 'length' not found,11/18/2021,222
pede,sports,723.75,710,Nike,Teal,45.48,error: Field 'length' not found,7/8/2011,223
orci,sports,382.99,760,Samsung,Goldenrod,90.76,error: Field 'length' not found,11/6/2015,224
in faucibus,beauty,438.25,7,Nike,Puce,73.35,error: Field 'length' not found,5/15/2011,225
eleifend,home decor,487.36,588,Samsung,Orange,93.97,error: Field 'length' not found,3/24/2016,226
posuere metus,beauty,812.35,32,Nike,Maroon,93.77,error: Field 'length' not found,1/16/2015,227
tincidunt,home decor,947.24,152,Samsung,Fuscia,96.15,error: Field 'length' not found,6/5/2022,228
in tempor,food,193.44,48,Apple,Teal,16.23,error: Field 'length' not found,2/10/2011,229
quam sollicitudin,clothing,709.85,308,Samsung,Fuscia,46.23,error: Field 'length' not found,9/25/2017,230
proin,home decor,92.81,160,Apple,Crimson,8.8,error: Field 'length' not found,11/20/2012,231
blandit,books,10.84,966,Apple,Khaki,73.99,error: Field 'length' not found,7/29/2014,232
ultrices enim,books,246.92,67,Nike,Fuscia,15.65,error: Field 'length' not found,12/20/2022,233
in,books,775.12,716,Nike,Green,78.56,error: Field 'length' not found,12/4/2014,234
pretium,sports,175.98,94,Nike,Khaki,18.5,error: Field 'length' not found,9/23/2021,235
elementum ligula,health,59.15,166,Nike,Mauv,32.11,error: Field 'length' not found,11/12/2016,236
diam neque,health,125.28,877,Samsung,Pink,39.71,error: Field 'length' not found,2/19/2010,237
dolor sit,sports,221.92,510,Nike,Indigo,93.32,error: Field 'length' not found,8/4/2013,238
sed,health,535.59,935,Samsung,Blue,37.59,error: Field 'length' not found,2/5/2016,239
quam,health,867.85,872,Apple,Teal,22.1,error: Field 'length' not found,7/5/2013,240
pede ac,beauty,628.82,363,Nike,Mauv,55.42,error: Field 'length' not found,11/30/2011,241
nunc proin,books,767.7,310,Samsung,Aquamarine,39.27,error: Field 'length' not found,8/22/2011,242
quis odio,pets,777.53,888,Samsung,Goldenrod,56.42,error: Field 'length' not found,3/14/2019,243
ipsum primis,home decor,498.83,539,Nike,Red,50.51,error: Field 'length' not found,7/25/2015,244
non,beauty,878.58,537,Nike,Fuscia,12.49,error: Field 'length' not found,2/9/2013,245
congue,health,857.6,497,Apple,Violet,58.73,error: Field 'length' not found,4/18/2021,246
ut,beauty,388.48,677,Samsung,Puce,22.62,error: Field 'length' not found,4/26/2019,247
porta,clothing,709.59,292,Apple,Pink,70.65,error: Field 'length' not found,2/19/2013,248
vel,health,479.52,662,Nike,Crimson,45.34,error: Field 'length' not found,1/26/2017,249
nec,automotive,906.08,130,Apple,Fuscia,55.83,error: Field 'length' not found,7/26/2022,250
